,cum_return,SR,SR_BTC,MD,Vol
0,0.5777623596752496,-1.6776680503175077,-1.5073861425644124,0.5177366553993065,0.0024979814788265563
1,0.5777875540006809,-1.6776488029461187,-1.5073461564765787,0.5177089230410503,0.0024978115793412147
2,0.5778053132746219,-1.6776848209755704,-1.507326834052473,0.5176834739558165,0.0024976180001232253
3,0.5778569455190542,-1.6776269222531903,-1.5072420933121158,0.5176342044933882,0.0024972973152185655
4,0.5778805993646665,-1.6776172446778488,-1.507206432221444,0.517608994013529,0.0024971253302422305
5,0.5778993537063685,-1.677591313984601,-1.5071744654710715,0.5175938741308739,0.002497016148517335
6,0.5779311938525941,-1.677591767210917,-1.5071289626312359,0.5175539450398416,0.002496764591700444
7,0.5779426868874641,-1.6776502789945056,-1.5071218921415361,0.5175339104683665,0.002496586959470921
8,0.5779793862986045,-1.6775986571831176,-1.5070600783220334,0.5174980565585275,0.0024963746362121064
9,0.5780050192854037,-1.6776013997612922,-1.507023200640294,0.5174707854240688,0.0024961686097966173
10,0.5780327549468607,-1.6775889733720861,-1.5069810611754835,0.5174387718931733,0.0024959685972445935
11,0.5780598437125247,-1.6775557139154447,-1.5069364006534245,0.5174143735543849,0.0024958046824265813
12,0.5780773059615125,-1.6775661834471565,-1.506912863665907,0.5173957635147928,0.0024956515481644294
13,0.5781066098054741,-1.6775491640386286,-1.5068672347852938,0.5173615080044279,0.002495446034663256
14,0.5781311786500763,-1.6775482352479156,-1.5068315270804142,0.5173334505847396,0.0024952538909564182
15,0.5781604789171658,-1.6775023689954438,-1.5067817560448453,0.5173086835112564,0.0024950913265204553
16,0.5781794014787465,-1.6775500499304992,-1.506761870287534,0.5172787615663648,0.0024948713716073873
17,0.5782260823565506,-1.6775155709985157,-1.5066887050214104,0.517232635984248,0.002494554997569727
18,0.5782678219278972,-1.6775072535871847,-1.5066269018574658,0.5171846901443424,0.002494238654109944
19,0.5782898939229755,-1.677508390264634,-1.506595071241528,0.5171612024428556,0.0024940631499794264
20,0.57832409812715,-1.6774846829673964,-1.5065414312668959,0.517125027313884,0.0024938290534129324
21,0.5783539590001888,-1.677484865425083,-1.5064981321998672,0.517087508761612,0.0024935936529105283
22,0.578371469126909,-1.6774911867215165,-1.5064738847265273,0.5170717234822021,0.002493446384942029
23,0.5784199655533765,-1.6774358700715717,-1.5063944450335813,0.5170225668239139,0.002493146768813908
24,0.5784453132504849,-1.677449148578391,-1.5063596313826721,0.5169927016365248,0.002492927469595684
25,0.5784535473586091,-1.6774520396006758,-1.5063482280954108,0.5169824995207535,0.002492858347566029
26,0.5784764962630223,-1.6774106294601414,-1.5063081180773181,0.5169634307076786,0.0024927392166660617
27,0.5784975574210603,-1.6774439376275698,-1.5062833428356674,0.516932092883613,0.0024925239190694217
28,0.5785272392749212,-1.6774165098268035,-1.5062356397597287,0.5169019449235677,0.002492331015761528
29,0.5785532801022627,-1.6774140418540906,-1.5061976244032973,0.5168727212320094,0.0024921296957790815
30,0.5785926176292499,-1.6773843116445293,-1.5061354866945906,0.5168386349633696,0.0024918642234008463
31,0.578596974388165,-1.6774206309357709,-1.5061350615173394,0.5168245392545581,0.002491775977924725
32,0.5786254520398151,-1.677400671012139,-1.5060906399435026,0.516794085566342,0.002491581485045145
33,0.5786654413626688,-1.6773507979492244,-1.5060243087070642,0.516758870407636,0.0024913408271353826
34,0.5786944972723073,-1.677392054132691,-1.5059893552277042,0.5167180591440952,0.0024910508828318947
35,0.5787295717056552,-1.6773452311050043,-1.5059303163434685,0.5166846823404624,0.0024908443938033236
36,0.5787671089747438,-1.6773287408979298,-1.505873374805437,0.5166445451007946,0.002490573489006904
37,0.5787974940880695,-1.677335631394778,-1.5058303875352927,0.5166086248563955,0.002490324162494226
38,0.5788300947107614,-1.6773017600608737,-1.5057771991760687,0.5165777343025943,0.0024901179320365786
39,0.5788670302699274,-1.6772988731940006,-1.5057233571593502,0.5165351239743735,0.0024898316052140474
40,0.5788757454756891,-1.6773076389640578,-1.5057119042559945,0.5165239727905679,0.00248975002406968
41,0.5788944498153171,-1.6773101328952216,-1.5056852962231573,0.516501440394575,0.00248959916481685
42,0.578914310415304,-1.6772824913477342,-1.5056518610402647,0.5164843319089802,0.0024894839416687497
43,0.5789334368544857,-1.6773179222135866,-1.5056302600679585,0.5164565514463668,0.0024892808875479305
44,0.5789663885103066,-1.6773024883686227,-1.5055800707450664,0.516420829438663,0.002489044571912351
45,0.5789951595096898,-1.6773025571204396,-1.5055384226778465,0.5163886452857543,0.002488818148983533
46,0.5790428778815878,-1.6772455191501972,-1.5054596703366578,0.5163433871034093,0.0024885274317242314
47,0.5790719027542266,-1.6772489338848073,-1.5054179078032117,0.5163105469048094,0.002488294070263238
48,0.5791075099888293,-1.6772237069260973,-1.5053620186251633,0.5162736937652302,0.0024880514392915374
49,0.579129144575357,-1.677232822869611,-1.5053323700427805,0.5162493396541261,0.0024878677659677362
